imagen_id,VP,FP,VN,FN,sensibilidad,especificidad,precision,exactitud,f1_score,dice,iou,mcc,npv,balanced_accuracy,fpr,fnr,area_real,area_predicha,hausdorff_distance,avg_surface_distance
TCGA_CS_4941_10,0,69,16315,0,0.0,0.9958,0.0,0.9958,0.0,0.0,0.0,0.0,1.0,0.4979,0.0042,0.0,0,69,,
TCGA_CS_4941_18,0,107,16254,23,0.0,0.9935,0.0,0.9921,0.0,0.0,0.0,-0.003,0.9986,0.4967,0.0065,1.0,23,107,49.01,38.24
TCGA_CS_4941_1,0,125,16259,0,0.0,0.9924,0.0,0.9924,0.0,0.0,0.0,0.0,1.0,0.4962,0.0076,0.0,0,125,,
TCGA_CS_4941_6,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_4942_18,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_4943_19,329,102,15942,11,0.9676,0.9936,0.7633,0.9931,0.8534,0.8534,0.7443,0.8562,0.9993,0.9806,0.0064,0.0324,340,431,3.61,0.19
TCGA_CS_4943_4,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_4943_5,0,13,16371,0,0.0,0.9992,0.0,0.9992,0.0,0.0,0.0,0.0,1.0,0.4996,0.0008,0.0,0,13,,
TCGA_CS_4944_15,0,472,15912,0,0.0,0.9712,0.0,0.9712,0.0,0.0,0.0,0.0,1.0,0.4856,0.0288,0.0,0,472,,
TCGA_CS_4944_19,0,1498,14886,0,0.0,0.9086,0.0,0.9086,0.0,0.0,0.0,0.0,1.0,0.4543,0.0914,0.0,0,1498,,
TCGA_CS_5393_10,2131,202,13996,55,0.9748,0.9858,0.9134,0.9843,0.9431,0.9431,0.8924,0.9347,0.9961,0.9803,0.0142,0.0252,2186,2333,3.16,0.08
TCGA_CS_5393_17,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5393_2,0,166,16218,0,0.0,0.9899,0.0,0.9899,0.0,0.0,0.0,0.0,1.0,0.4949,0.0101,0.0,0,166,,
TCGA_CS_5393_8,1995,205,14131,53,0.9741,0.9857,0.9068,0.9843,0.9393,0.9393,0.8855,0.931,0.9963,0.9799,0.0143,0.0259,2048,2200,3.61,0.08
TCGA_CS_5395_12,173,45,16044,122,0.5864,0.9972,0.7936,0.9898,0.6745,0.6745,0.5088,0.6773,0.9925,0.7918,0.0028,0.4136,295,218,6.71,0.84
TCGA_CS_5395_1,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5396_19,705,186,15460,33,0.9553,0.9881,0.7912,0.9866,0.8656,0.8656,0.763,0.8628,0.9979,0.9717,0.0119,0.0447,738,891,7.21,0.32
TCGA_CS_5396_8,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5397_15,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5397_16,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5397_20,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5397_21,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5397_2,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_5397_8,0,385,15709,290,0.0,0.9761,0.0,0.9588,0.0,0.0,0.0,-0.0208,0.9819,0.488,0.0239,1.0,290,385,55.8,42.75
TCGA_CS_6186_13,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6186_15,290,7,15856,231,0.5566,0.9996,0.9764,0.9855,0.709,0.709,0.5492,0.7315,0.9856,0.7781,0.0004,0.4434,521,297,7.0,0.59
TCGA_CS_6186_1,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6186_21,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6186_23,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6186_2,0,14,16370,0,0.0,0.9991,0.0,0.9991,0.0,0.0,0.0,0.0,1.0,0.4996,0.0009,0.0,0,14,,
TCGA_CS_6186_6,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6188_10,0,4,16380,0,0.0,0.9998,0.0,0.9998,0.0,0.0,0.0,0.0,1.0,0.4999,0.0002,0.0,0,4,,
TCGA_CS_6188_14,0,0,16340,44,0.0,1.0,0.0,0.9973,0.0,0.0,0.0,0.0,0.9973,0.5,0.0,1.0,44,0,,
TCGA_CS_6188_4,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6290_15,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6290_16,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6290_4,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6290_8,577,5,15668,134,0.8115,0.9997,0.9914,0.9915,0.8925,0.8925,0.8059,0.893,0.9915,0.9056,0.0003,0.1885,711,582,4.47,0.18
TCGA_CS_6665_13,419,676,15267,22,0.9501,0.9576,0.3826,0.9574,0.5456,0.5456,0.3751,0.5882,0.9986,0.9539,0.0424,0.0499,441,1095,14.32,1.49
TCGA_CS_6665_14,443,294,15558,89,0.8327,0.9815,0.6011,0.9766,0.6982,0.6982,0.5363,0.6962,0.9943,0.9071,0.0185,0.1673,532,737,8.25,0.71
TCGA_CS_6665_5,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6666_16,792,197,15041,354,0.6911,0.9871,0.8008,0.9664,0.7419,0.7419,0.5897,0.7263,0.977,0.8391,0.0129,0.3089,1146,989,11.05,0.83
TCGA_CS_6666_25,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6666_4,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6666_7,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6666_8,0,39,16345,0,0.0,0.9976,0.0,0.9976,0.0,0.0,0.0,0.0,1.0,0.4988,0.0024,0.0,0,39,,
TCGA_CS_6667_11,252,19,16089,24,0.913,0.9988,0.9299,0.9974,0.9214,0.9214,0.8542,0.9201,0.9985,0.9559,0.0012,0.087,276,271,2.24,0.08
TCGA_CS_6667_3,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6667_6,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6668_1,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6668_27,0,1470,14914,0,0.0,0.9103,0.0,0.9103,0.0,0.0,0.0,0.0,1.0,0.4551,0.0897,0.0,0,1470,,
TCGA_CS_6668_8,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6669_11,256,5,15999,124,0.6737,0.9997,0.9808,0.9921,0.7988,0.7988,0.6649,0.8095,0.9923,0.8367,0.0003,0.3263,380,261,9.0,0.44
TCGA_CS_6669_7,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_CS_6669_8,0,0,16384,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0,0,,
TCGA_DU_5849_21,270,3,16033,78,0.7759,0.9998,0.989,0.9951,0.8696,0.8696,0.7692,0.8737,0.9952,0.8878,0.0002,0.2241,348,273,4.0,0.19
TCGA_DU_5849_24,282,1,15869,232,0.5486,0.9999,0.9965,0.9858,0.7077,0.7077,0.5476,0.734,0.9856,0.7743,0.0001,0.4514,514,283,5.0,0.42
